28	default cheap mobile provider	cheapest mobile operator	buy sim	west europe	nord europe	europe	country	east	card	
2939	full page visas due	major part torn	full page visas	blank pages invalid	previously blank page	blank passport pages	prevent passport stamps	blank pages	running low	worse making	
38433	bkk budapest public transport system	cleared immigration + customs	budapest fairly late	late night departures	200e bus run	budapest airport	metro 3 run	200e bus	metro onwards	correctly understand	
38433	bkk budapest public transport system	cleared immigration + customs	budapest fairly late	late night departures	200e bus run	budapest airport	metro 3 run	200e bus	metro onwards	correctly understand	
38390	buying paper tickets	oyster card worth	oyster card	underground tickets	short space	victoria station	tight budget	westminster region	underground	december	
38441	specific incidents targeting foreigners/westers	general travel advisories issued	prefer similar ways	major political disagreements	experienced intrepid travellers	israeli citizens	countries bordering	wonderful things	advice won	spent time	
38384	hunza valley area	violence directed specifically	ten tourists murdered	gilgit province	met lots	travel overland	great times	lovely iranians	terrorists dressed	upcoming trip	
38454	valid canadian visa	airport transit visa	transit time	indian citizen	transit	paris	17 hrs	
38464	logging existing countries	geographical entities	french guyana	start running	political correct	list doesn	basic idea	ontology exist	countries	ontology	
38474	wikipedia south thailand insurgency	hat yai city central	central city supposed	united states department	thai railway guide	british foreign    office	central business district	dangerous tourist destinations	south including arson	hat yai junction	
38469	located abroad	answer depend	independent contracting	legal issues	independent contractor	home country	tourist visa	visiting country	working visa	working	
38469	located abroad	answer depend	independent contracting	legal issues	independent contractor	home country	tourist visa	visiting country	working visa	working	
38469	located abroad	answer depend	independent contracting	legal issues	independent contractor	home country	tourist visa	visiting country	working visa	working	
38485	standard travel insurance	travel insurance proof	personal banking	similar question	specific certificates	ve heard	credit cards	hong kong	countries require	insurance	
38489	connecting flight leaves	cheap options	diners club	~6 hour layover	lounge options	lounge cheaper	flight	lounge	doha	services	
38494	stockholm transferring	time needed	time	nj	transfer	make	flying	domestic	newark	airport	
38494	stockholm transferring	time needed	time	nj	transfer	make	flying	domestic	newark	airport	
38487	certificate house rent agreement copy	uk family visa refused	national deposit bureau	stated monthly income	invitation letter sponsor	government  ownership document	bank statement employer	refusal letter mentioned	family visa	uk back	
38499	onwards journey boarding pass	read question carefully	18+ hours layover	uk transit visa	24 hours transit	long time	indian passport	totally confused	guys suggest	exact meaning	
38513	double jacket tickets	luggage transfer	luggage transferred	royal brunei	brunei	karachi	dubai	2 kids	terminal 3	travel	
38129	lost uk paper licence	card uk licence	separate paper part	paper part	licence	driving	usa	florida	drive	find	
38382	visa waiver program	visa requirements	united airlines	booked flights	online check	immigration desk	costa rica	itinerary includes	uk citizen	en route	
38522	canadian pr card	require transit visa	transit visa	pakistani passport	amsterdam airport	visa	amsterdam	canada	carrying	travelling	
38499	onwards journey boarding pass	read question carefully	18+ hours layover	uk transit visa	24 hours transit	long time	indian passport	totally confused	guys suggest	exact meaning	
38094	present surname	passport expired	kanduri rajani	surname difference	passport & visa	difference	surname	visa	passport	kanduri	
22982	issuing tourist visas	guest worker populations	lowest price range	conceivably hotels run	lowest prices	saudi arabia	language barrier	cheapest accommodations	independent backpacker	hajj pilgrimage	
38558	terrestrial public transport	travel overland	travel	oget	good	malaria	brazzaville/kinshasa	safe	gabon	expect	
38559	terrestrial public transport	border crossings	dr congo	travel overland	congo brazzaville	congo	brazzaville	travel	expect	douala	
38473	newark liberty airport	newark airport	older posts	change terminals	fully clear	costa rica	changing planes	connecting flight	united departs	newark	
38521	terrestrial public transport	guess visa costs	related questions	biggest chunk	eu/dutch citizen	fair balance	dr congo	travel overland	costs	congo	
38521	terrestrial public transport	guess visa costs	related questions	biggest chunk	eu/dutch citizen	fair balance	dr congo	travel overland	costs	congo	
38584	follow travel resrictions	answer directly	trade embargo	laws specifically	specifically american	granted permission	american citizen	native citizen	dual citizen	dutch born	
38584	follow travel resrictions	answer directly	trade embargo	laws specifically	specifically american	granted permission	american citizen	native citizen	dual citizen	dutch born	
38589	hong kong international airport	find related details	dallas international airport	present credit cards	hong kong	credit card	direct flight	american airlines	air ticket	relative purchased	
38587	long stay visa	application form online	entry country	enter italy	application	documents	applying	study	destination	submit	
38597	luggage automatically transferred	brussels>lhr>cork	transfers automatically	aer lingus	british airways	company change	london heathrow	information source	cork	heathrow	
38585	move computer components	850 euro monitor screen	expensive monitor	computer parts	good idea	special locks	aer lingus	4 number lock	original box	bit afraid	
38603	boarding port schengen visa	schengen visa	qatar	egyptian	egypt	country	travel	live	issued	
38604	buy plane tickets	eu state id	alternative document numbers	valid travel document	id document	running late	finally reached	destination country	international flight	passport number	
38587	long stay visa	application form online	entry country	enter italy	application	documents	applying	study	destination	submit	
38633	machining repairing work	coming back alive	pocket thieves	western country	attacked frequently	politically stable	news mediums	news show	spent 1 month	inside iran	
38650	student visas	similar question	schengen zone	student visa	surrounding countries	tourist visa	working visas	applied	leave	weeks	
38651	snow fall	mainland china	hong kong	nearest place	snowfall	christmas	
38665	paper confirmation slips aren’	valid uniform format category	permanent residence card issued	additional uk government document	permanent residence card	797 extension letter issued	european economic area	provide conflicting information	uk government website	uk consulate website	
38682	study visa	surname field	ganta dheeraj	passport surname	ganta	surname	dheeraj	passport	advance	full	
38666	general visitors visa	send original documents	original passport	heathrow airport	independent applications	eligibility criteria	coming back	3 day visit	biometric appointments	h1b visa	
38686	idp eu driving license	travel insurance won’	driving license	driving illegally	companies rent	tourist island	ve read	ko samui	power output	renting scooter	
38686	idp eu driving license	travel insurance won’	driving license	driving illegally	companies rent	tourist island	ve read	ko samui	power output	renting scooter	
38685	public transport	cross station	heathrow airport	heathrow	facilities	travelers	hard	pieces	arriving	london	
38706	mega euro trip	schengen country	balkan area	definite list	schengen visa	schengen countries	visa	countries	knowing	save	
38715	single entry tourist visa	tourist visa	transit visa	2 month lapse	sri lanka	whilst travelling	daughter requires	daughter	december	fly	
38654	passport officer pointed	urgent personal matter	return flight	past visits	flight bookings	schengen country	problem entering	schengen area	lose lot	schengen visa	
38750	multiple entry danish business visa	entry business schengen visa	entry business visa	multiple entry visa	tourist visa	multiple	applied	requested	give	apply	
38754	money directly	change eur	exchange money	exchange rates	exchange	rates	didn	ve	people	bureaux	
